SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
RRK,2020,01,4439,99.00,4439,99.00
RRK,2020,02,4152,99.00,4152,99.00
RRK,2020,03,4413,98.00,4413,98.00
RRK,2020,04,4295,99.00,4295,99.00
RRK,2020,05,4404,98.00,4404,98.00
RRK,2020,06,3855,89.00,3855,89.00
RRK,2020,07,4269,95.00,4269,95.00
RRK,2020,08,4422,99.00,4422,99.00
RRK,2020,09,4288,99.00,4288,99.00
RRK,2020,10,4425,99.00,4425,99.00
RRK,2020,11,3913,90.00,3913,90.00
RRK,2020,12,3492,78.00,3492,78.00
NNB,2020,01,4456,99.00,4456,99.00
NNB,2020,02,3648,87.00,3648,87.00
NNB,2020,03,4454,99.00,4454,99.00
NNB,2020,04,4313,99.00,4313,99.00
NNB,2020,05,4457,99.00,4457,99.00
NNB,2020,06,3994,92.00,3994,92.00
NNB,2020,07,4457,99.00,4457,99.00
NNB,2020,08,4457,99.00,4457,99.00
NNB,2020,09,4312,99.00,4312,99.00
NNB,2020,10,4456,99.00,4456,99.00
NNB,2020,11,4312,99.00,4312,99.00
NNB,2020,12,1515,33.00,1515,33.00
SEAL,2020,01,434,9.00,0,0.00
SEAL,2020,02,311,7.00,0,0.00
SEAL,2020,03,449,10.00,0,0.00
SEAL,2020,04,715,16.00,0,0.00
SEAL,2020,05,733,16.00,0,0.00
SEAL,2020,06,580,13.00,0,0.00
SEAL,2020,07,393,8.00,0,0.00
SEAL,2020,08,681,15.00,0,0.00
SEAL,2020,09,718,16.00,0,0.00
SEAL,2020,10,737,16.00,0,0.00
SEAL,2020,11,551,12.00,0,0.00
SEAL,2020,12,341,7.00,0,0.00
RHED,2020,01,468,10.00,0,0.00
RHED,2020,02,692,16.00,0,0.00
RHED,2020,03,743,16.00,0,0.00
RHED,2020,04,720,16.00,0,0.00
RHED,2020,05,643,14.00,0,0.00
RHED,2020,06,496,11.00,0,0.00
RHED,2020,07,683,15.00,0,0.00
RHED,2020,08,714,15.00,0,0.00
