SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
COF,2022,01,0,0.00,0,0.00
COF,2022,02,0,0.00,0,0.00
COF,2022,03,0,0.00,0,0.00
COF,2022,04,0,0.00,0,0.00
COF,2022,05,0,0.00,0,0.00
COF,2022,06,0,0.00,0,0.00
COF,2022,07,0,0.00,0,0.00
COF,2022,08,0,0.00,0,0.00
COF,2022,09,0,0.00,0,0.00
COF,2022,10,0,0.00,0,0.00
COF,2022,11,0,0.00,0,0.00
COF,2022,12,0,0.00,0,0.00
NEWC,2022,01,245,32.00,744,100.00
NEWC,2022,02,533,79.00,672,100.00
NEWC,2022,03,736,98.00,744,100.00
NEWC,2022,04,690,95.00,720,100.00
NEWC,2022,05,718,96.00,744,100.00
NEWC,2022,06,700,97.00,720,100.00
NEWC,2022,07,732,98.00,744,100.00
NEWC,2022,08,617,82.00,744,100.00
NEWC,2022,09,416,57.00,720,100.00
NEWC,2022,10,56,7.00,101,13.00
NEWC,2022,11,0,0.00,0,0.00
NEWC,2022,12,0,0.00,0,0.00
SAG,2022,01,0,0.00,0,0.00
SAG,2022,02,0,0.00,0,0.00
SAG,2022,03,0,0.00,0,0.00
SAG,2022,04,0,0.00,0,0.00
SAG,2022,05,0,0.00,0,0.00
SAG,2022,06,0,0.00,0,0.00
SAG,2022,07,0,0.00,0,0.00
SAG,2022,08,0,0.00,0,0.00
SAG,2022,09,0,0.00,0,0.00
SAG,2022,10,0,0.00,0,0.00
SAG,2022,11,0,0.00,0,0.00
SAG,2022,12,0,0.00,0,0.00
ROT,2022,01,0,0.00,0,0.00
ROT,2022,02,0,0.00,0,0.00
ROT,2022,03,0,0.00,0,0.00
ROT,2022,04,0,0.00,0,0.00
ROT,2022,05,0,0.00,0,0.00
ROT,2022,06,540,75.00,540,75.00
ROT,2022,07,631,84.00,631,84.00
ROT,2022,08,353,47.00,353,47.00
ROT,2022,09,392,54.00,392,54.00
ROT,2022,10,601,80.00,601,80.00
ROT,2022,11,123,17.00,123,17.00
ROT,2022,12,290,38.00,290,38.00
TURQ,2022,01,729,97.00,729,97.00
TURQ,2022,02,428,63.00,428,63.00
TURQ,2022,03,543,72.00,543,72.00
TURQ,2022,04,706,98.00,706,98.00
TURQ,2022,05,651,87.00,651,87.00
TURQ,2022,06,434,60.00,434,60.00
TURQ,2022,07,703,94.00,703,94.00
TURQ,2022,08,577,77.00,577,77.00
TURQ,2022,09,484,67.00,484,67.00
TURQ,2022,10,672,90.00,672,90.00
TURQ,2022,11,680,94.00,683,94.00
TURQ,2022,12,707,95.00,707,95.00
CORL,2022,01,389,52.00,389,52.00
CORL,2022,02,386,57.00,386,57.00
CORL,2022,03,536,72.00,536,72.00
CORL,2022,04,704,97.00,704,97.00
CORL,2022,05,519,69.00,519,69.00
CORL,2022,06,670,93.00,670,93.00
CORL,2022,07,694,93.00,694,93.00
CORL,2022,08,571,76.00,571,76.00
CORL,2022,09,535,74.00,535,74.00
CORL,2022,10,464,62.00,464,62.00
CORL,2022,11,510,70.00,510,70.00
CORL,2022,12,0,0.00,0,0.00
NWA,2022,01,318,42.00,315,42.00
NWA,2022,02,132,19.00,130,19.00
NWA,2022,03,634,85.00,628,84.00
NWA,2022,04,591,82.00,590,81.00
NWA,2022,05,301,40.00,301,40.00
NWA,2022,06,0,0.00,0,0.00
NWA,2022,07,0,0.00,0,0.00
NWA,2022,08,0,0.00,0,0.00
NWA,2022,09,0,0.00,0,0.00
NWA,2022,10,111,14.00,111,14.00
NWA,2022,11,450,62.00,450,62.00
NWA,2022,12,493,66.00,493,66.00
