SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
CBG,2023,01,0,0.00,0,0.00
CBG,2023,02,0,0.00,0,0.00
CBG,2023,03,0,0.00,0,0.00
CBG,2023,04,0,0.00,0,0.00
CBG,2023,05,0,0.00,0,0.00
COF,2023,01,0,0.00,0,0.00
COF,2023,02,0,0.00,0,0.00
COF,2023,03,0,0.00,0,0.00
COF,2023,04,0,0.00,0,0.00
COF,2023,05,0,0.00,0,0.00
NEWC,2023,01,0,0.00,0,0.00
NEWC,2023,02,0,0.00,0,0.00
NEWC,2023,03,133,17.00,228,30.00
NEWC,2023,04,506,70.00,0,0.00
NEWC,2023,05,495,66.00,0,0.00
BONC,2023,01,0,0.00,0,0.00
BONC,2023,02,0,0.00,0,0.00
BONC,2023,03,0,0.00,0,0.00
BONC,2023,04,0,0.00,0,0.00
BONC,2023,05,0,0.00,0,0.00
SAG,2023,01,0,0.00,0,0.00
SAG,2023,02,0,0.00,0,0.00
SAG,2023,03,0,0.00,0,0.00
SAG,2023,04,0,0.00,0,0.00
SAG,2023,05,0,0.00,0,0.00
ROT,2023,01,253,34.00,253,34.00
ROT,2023,02,1,0.00,1,0.00
ROT,2023,03,9,1.00,9,1.00
ROT,2023,04,240,33.00,0,0.00
ROT,2023,05,542,72.00,0,0.00
TURQ,2023,01,701,94.00,702,94.00
TURQ,2023,02,538,80.00,538,80.00
TURQ,2023,03,380,51.00,380,51.00
TURQ,2023,04,602,83.00,0,0.00
TURQ,2023,05,710,95.00,0,0.00
CORL,2023,01,0,0.00,0,0.00
CORL,2023,02,0,0.00,0,0.00
CORL,2023,03,167,22.00,167,22.00
CORL,2023,04,220,30.00,0,0.00
CORL,2023,05,685,92.00,0,0.00
NWA,2023,01,455,61.00,455,61.00
NWA,2023,02,328,48.00,328,48.00
NWA,2023,03,266,35.00,266,35.00
NWA,2023,04,465,64.00,0,0.00
NWA,2023,05,472,63.00,0,0.00
