SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
RRK,2022,01,0,0.00,0,0.00
RRK,2022,02,0,0.00,0,0.00
RRK,2022,03,0,0.00,0,0.00
RRK,2022,04,3832,88.00,3832,88.00
RRK,2022,05,4424,99.00,4424,99.00
RRK,2022,06,848,19.00,848,19.00
RRK,2022,07,0,0.00,0,0.00
RRK,2022,08,2264,50.00,2264,50.00
RRK,2022,09,4286,99.00,4286,99.00
RRK,2022,10,4438,99.00,4438,99.00
RRK,2022,11,996,23.00,996,23.00
RRK,2022,12,0,0.00,0,0.00
NNB,2022,01,0,0.00,0,0.00
NNB,2022,02,0,0.00,0,0.00
NNB,2022,03,0,0.00,0,0.00
NNB,2022,04,0,0.00,0,0.00
NNB,2022,05,0,0.00,0,0.00
NNB,2022,06,0,0.00,0,0.00
NNB,2022,07,0,0.00,0,0.00
NNB,2022,08,0,0.00,0,0.00
NNB,2022,09,0,0.00,0,0.00
NNB,2022,10,0,0.00,0,0.00
NNB,2022,11,0,0.00,0,0.00
NNB,2022,12,0,0.00,0,0.00
SEAL,2022,01,701,15.00,0,0.00
SEAL,2022,02,647,16.00,0,0.00
SEAL,2022,03,739,16.00,0,0.00
SEAL,2022,04,697,16.00,0,0.00
SEAL,2022,05,723,16.00,0,0.00
SEAL,2022,06,705,16.00,0,0.00
SEAL,2022,07,733,16.00,0,0.00
SEAL,2022,08,733,16.00,0,0.00
SEAL,2022,09,544,12.00,0,0.00
SEAL,2022,10,94,2.00,0,0.00
SEAL,2022,11,0,0.00,0,0.00
SEAL,2022,12,0,0.00,0,0.00
RHED,2022,01,298,6.00,0,0.00
RHED,2022,02,610,15.00,0,0.00
RHED,2022,03,744,16.00,0,0.00
RHED,2022,04,720,16.00,0,0.00
RHED,2022,05,738,16.00,0,0.00
RHED,2022,06,718,16.00,0,0.00
RHED,2022,07,744,16.00,0,0.00
RHED,2022,08,671,15.00,0,0.00
RHED,2022,09,658,15.00,0,0.00
RHED,2022,10,574,12.00,0,0.00
RHED,2022,11,624,14.00,0,0.00
RHED,2022,12,338,7.00,0,0.00
CSP,2022,01,1434,32.00,0,0.00
CSP,2022,02,0,0.00,0,0.00
CSP,2022,03,0,0.00,0,0.00
CSP,2022,04,0,0.00,0,0.00
CSP,2022,05,0,0.00,0,0.00
CSP,2022,06,0,0.00,0,0.00
CSP,2022,07,0,0.00,0,0.00
