SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
COF,2016,01,708,95.00,708,95.00
COF,2016,02,575,82.00,575,82.00
COF,2017,01,3,0.00,3,0.00
COF,2017,02,342,50.00,342,50.00
COF,2018,01,32,4.00,32,4.00
COF,2018,02,356,52.00,356,52.00
NEWC,2016,01,0,0.00,0,0.00
NEWC,2016,02,0,0.00,0,0.00
NEWC,2017,01,0,0.00,0,0.00
NEWC,2017,02,0,0.00,0,0.00
NEWC,2018,01,703,94.00,703,94.00
NEWC,2018,02,638,94.00,638,94.00
SAG,2016,01,743,99.00,742,99.00
SAG,2016,02,453,65.00,452,64.00
SAG,2017,01,744,100.00,744,100.00
SAG,2017,02,550,81.00,550,81.00
SAG,2018,01,703,94.00,703,94.00
SAG,2018,02,525,78.00,525,78.00
ROT,2016,01,733,98.00,731,98.00
ROT,2016,02,695,99.00,695,99.00
ROT,2017,01,744,100.00,744,100.00
ROT,2017,02,661,98.00,661,98.00
ROT,2018,01,740,99.00,740,99.00
ROT,2018,02,666,99.00,666,99.00
TURQ,2016,01,694,93.00,695,93.00
TURQ,2016,02,546,78.00,547,78.00
TURQ,2017,01,697,93.00,700,94.00
TURQ,2017,02,622,92.00,630,93.00
